JobTitle,CompanyName,Location,KeySkills
QA Automation Engineer,UBA Solutions,Kathmandu,None
Database Administrator,Verisk Nepal,Kathmandu,"Postgresql, Mysql, Database Administration, "
Python Developer,Verisk Nepal,Lalitpur,"React, Postgresql, Python, Django Framework, "
Senior DevOps Engineer,CloudHero,Remote,"Communication, Devops, Cloud Computing, Linux, Kubernetes, "
DBA-SQL Developer,Verisk Nepal,Kathmandu,"Postgresql, Mysql, Database Administration, "
Software Developer,SeeLogic International,"Kathmandu, Nepal","Project Coordination, Communication, Crm, Project Management, Microsoft Office Suite, "
Wordpress Developer,Diagonal Technologies,"Sankhamul,lalitpur","Xdebug, Sql, Php, Sass, "
Monitoring and Evaluation Speci…,CDM Smith,Kathmandu,"Interpersonal, Management, Communication, Monitoring, Computer Operation, Analytical, "
Senior iOS Developer,Eka Desko Private Limited,Work From Home,"Json, Ios, Http, Javascript, "
Senior Java/Angular Developer,Eka Desko Private Limited,Work From Home,"Spring Boot, Ci/Cd, Frontend Frameworks, Version Control, (Eg-React/Angu… Java, "
.Net Developer,Verisk Nepal,Kathmandu,"Angular, Communication, C#, Aws Services, Asp.Net, "
QA Automation Engineer,Verisk Nepal,"Kathmandu, Nepal","Interpersonal, Management, Communication, "
AWS DevOps/Linux Admin,Verisk Nepal,Kathmandu,"Devops, Aws, "
QA Engineer,Verisk Nepal,"Kathmandu, Nepal","Interpersonal, Management, Communication, "
DevOps Engineer,Cedar Gate Services,"Kathmandu, Nepal",None
Frontend Developer (React / Typ…,Diagonal Technologies,"Sankhamul, Lalitpur","Nextjs, React Native, Typescript, Graphql, Reactjs, "
Software Development Engineer i…,UBA Solutions,"Imadole, Lalitpur",None
Senior JavaScript Developer,COTIVITI NEPAL,"Kathmandu, Nepal",None
Associate Project Manager,COTIVITI NEPAL,"Kathmandu, Nepal",None
Tech Lead- Dot Net,COTIVITI NEPAL,"Kathmandu, Nepal",None
Database Architect,COTIVITI NEPAL,"Kathmandu, Nepal",None
Data Engineer,COTIVITI NEPAL,"Kathmandu, Nepal",None
QA Engineer,COTIVITI NEPAL,"Kathmandu, Nepal",None
Senior Java/Scala Developer,COTIVITI NEPAL,"Kathmandu, Nepal",None
Senior MS - SQL Developer,COTIVITI NEPAL,"Kathmandu, Nepal",None
Senior Java/Angular Developer,COTIVITI NEPAL,"Kathmandu, Nepal",None
Vue.js full stack developer,Dzango Technologies Limited,"Kupondole, Lalitpur","Node.Js, Vue.Js, Html5/Css3, Git, "
Management Trainee,Nepal Digital Payments Company Limited,Kathmandu,None
Digital Marketing Strategist,Lisnutech,"Putalisadak, Kathmandu, Nepal","Communication, Interpersonal, Management, Creative Thinking, "
Site Reliability Engineer,UBA Solutions,"Imadole, Lalitpur",None
Web Content Writer + Editor,KPO and Company,"Office or Freelance,Kathmandu",None
Web Developer (Team Lead),Smart Data Solution,Kupondole,"Html, Jquery, Css, Javascript, Js, Regex, Vue.Js, Xml, "
Graphic Designer,ACT 360,"Kathmandu, Nepal","Interpersonal, Communication, Indesign, Illustrator, Photoshop, Html/Css, Task Management, "
React Developer (Full stack dev…,Dzango Technologies Limited,"Kupondole, Lalitpur","React.Js, Html5/Css3, Git, "
ReactJS/React Native,Dhuni Software,Kathmandu,"Communication, Html, Css, Javascript, "
Full Stack Developer,TechStack Solutions Ltd,"Kathmandu,Remote","Mongodb, Node.Js, Mysql, "
Mid-Level .NET Developer,Professional Computer System (PCS),Kathmandu,"Html, Css, Javascript, .Net Core, Asp.Net, Reactjs, "
Ecommerce Administrator,Felt and Yarn,"Khusibu, Nayabazzar, Kathmandu","Communication, Writing, Time Management, "
Java Developer (Account Managem…,Smart Data Solution,Kupondole,"Jquery, Css, Javascript, J2Ee, Java, "
JAVA Developer,BI-SOLUTIONS,Remote,"Html, Css, Javascript, Angular, Node.Js, Xml, "
Full Stack Developers,Aayulogic,Nepal,None
Tech Lead,Technology For All,Kathmandu with travel to hub sites all over Nepal,None
UI/UX-Graphic Designer (Web and…,SeeLogic International,"Kathmandu, Nepal",None
QA/QC,Aayulogic,Nepal,None
QA/QC Intern,Aayulogic,Nepal,None
Intern Developer,Aayulogic,Nepal,None
DOT NET (.NET) Software Develop…,Dolphin Dive Technology,"Sanepa, Lalitpur","Web Services Security, Asp.Net, C#, Mvc, Entity Framework, Web Api, Web Development, Product Development, "
Digital Librarian/IT,United School,"Imadole, Lalitpur","Interpersonal, Communication, Problem Solving, Data Editing, Digital Library, "
Sr. Mobile App Developer,Youth Innovation Lab,"Bishalnagar, Kathmandu, Nepal","Interpersonal, Management, Communication, "
Digital Marketing Manager,Australian Digital Agency,"Shantinagar , Kathmandu","Marketing, Digital Marketing, Communication, Content Writing, Writing, "
Quality Analyst,EBPearls,Kandevsthan,"Agile/Scrum, Quality Assurance, Record Management, Problem Solving, "
Wordpress Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","Jquery, Css, Javascript, Html5, Sass, "
Node.js Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","Angular, Communication, Analytical, Vue.Js, Nosql, "
IOS Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","Cocoa Touch, Coredata, Orm And Rdbms, "
Android Developer,EBPearls,Kandevsthan,"Mvc, Architecture, Mvvm, "
Flutter Developer,EBPearls,Kathmandu,None
ReactJS/VueJS Developer,EBPearls,"Lalitpur, Nepal","Html, Css, Javascript, Vuejs, Reactjs, "
Java Developers,Resimator (Oy),"Mahakavi Marg 29 Dillibazar, Kathmandu","Spring Framework, "
WordPress Technical Support,ThemeGrill,"Basundhara-3, Kathmandu (Work From Home Currently)","Php, Css, Javascript, Git, Technical Support, "
Developer,Kazi Studios,"Chakupat , Patan Dhoka","Interpersonal, Troubleshooting, Management, Communication, Documentation, Time Management, "
Video Creator,ThemeGrill,"Basundhara-3, Kathmandu (Work From Home Currently)","Adobe Photoshop, Xd, Illustrator, "
Junior/Mid PHP Developer,ThemeGrill,"Basundhara-3, Kathmandu (Work From Home Currently)","Php, Html, Css, Logical Thinking, Wordpress, "
Sr. Java Developer,Bugv Software Technologies,"Maitidevi, Kathmandu","Orm, Sql, Restful, Javascript, Web Framework, Software Developer, Javasql, "
Dot Net Developer,Tech One Global,"Bishalnagar-4, Kathmandu","Jquery, Css / Css3, Anjularjs, Communication, Problem Solving, Analytical, Html 5, "
Content Writer,Lisnutech,"Putalisadak, Kathmandu, Nepal","Interpersonal, Management, Communication, Creative Thinking, "
Operation Manager,Lisnutech,"Putalisadak, Kathmandu, Nepal","Interpersonal, Management, Communication, Creative Thinking, Team Leadership, Managerial, "
Graphic Designer,Deurali-Janta Pharmaceutical,Kathmandu,"Budgeting, Communication, Auditing, Analytical, Accounting, "
Information Security Officer,Nepal Clearing House,Kathmandu,"Computer Science, Pci-Dss, Iso 27001, Vapt, Network Security, "
Software Developer – Back End,Nepal Clearing House,Kathmandu,"Html, Css, Javascript, Sql, Python, Gwt, "
Software Developer (Full Stack),Nepal Clearing House,Kathmandu,"Html, Css, Javascript, Angularjs, C#, Python, "
Android Developer,Nepal Clearing House,Kathmandu,"Android App Development, Apis, Rest/Json, Git, "
iOS Developer,Nepal Clearing House,Kathmandu,"Rest/Json, Ios App Development, Core Animation, Ui/Ux, Objective-C, "
Developer – Front End,Nepal Clearing House,Kathmandu,"Html, Css, Javascript, React, Angularjs, "
Jr. Developer – Front End,Nepal Clearing House,Kathmandu,"Css, Rest Apis, Javascript, Angularjs, Vuejs, "
QA Engineer,Nepal Clearing House,Kathmandu,"Ftp, Web Services, Web/ Mobile Applications, Xml, "
DevOps Engineer,Nepal Clearing House,Kathmandu,"Javascript, Mysql Database, Rdbms, Postgresql, Python, "
Support Analyst/Executive,Nepal Clearing House,Kathmandu,"Interpersonal, Communication, Multitasking, Time Management, "
Operations Executive,Nepal Clearing House,Kathmandu,"Interpersonal, Communication, Documentation Skills, "
System Analyst,Nepal Clearing House,Kathmandu,"Interpersonal, Xml, Mobile Applications, "
Analyst-Payment Systems,Nepal Clearing House,Kathmandu,"Web Services Security, Interpersonal, Sql, Communication, Linux/ Windows Os, Api, "
Software and Application Engine…,Huawei Technologies Nepal Co.Pvt.Ltd,"Pulchowk, Lalitpur","Interpersonal, Customer Relationship Management, Troubleshooting, Management, Communication, "
Front end Developer (React/Vue),Governance Automation Solution (GAS Nepal),Kupandole,"Interpersonal, Html, Css, React, Debugging Skills, Multitasking, "
UX/UI/Photoshop Designer,Governance Automation Solution (GAS Nepal),Kupandole,"Communication, Multitasking, Photoshop, Ui/Ux, "
Php Developer,School of Research and Technology,Baneshowr,"Php, Communication, Html, Css, "
Wordpress Developer,Crisp Webdesign,"Kathmandu, Nepal","Php, Html, Css, Javascript, English, Wordpress, "
