"id","title","street","locality","postal_code","country","region_full"
"6665240","Supervising Construction Mgr","1060 W SWEDESFORD RD","BERWYN","19312","United States","Pennsylvania"
"6791978","Sr Engineer","830 SCHUYLKILL AVE","PHILADELPHIA","19146","United States","Pennsylvania"
"7089472","Engineering Design Tech","123 ENERGY AVE # 765","ROCKFORD","61109","United States","Illinois"
"7141187","Sr. Architect - IT Enterprise Architecture","None","CHICAGO","60603","United States","Illinois"
"7115949","2021-2022 Fall-Winter Drexel Co-op Program","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"7141190","Sr. Architect - IT Enterprise Architecture","None","None","20002","United States","District of Columbia"
"7141188","Sr. Architect - IT Enterprise Architecture","None","BALTIMORE","21201","United States","Maryland"
"7141192","Sr. Architect - IT Enterprise Architecture","None","Newark","19713","United States","Delaware"
"7141194","Sr. Architect - IT Enterprise Architecture","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
"7141191","Sr. Architect - IT Enterprise Architecture","None","KENNETT SQUARE","19348","United States","Pennsylvania"
"7242443","Director Regulatory Strategy & Revenue Policy","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7156477","Dist System Operator I","680 RIDGE PIKE","PLYMOUTH MEETING","19462","United States","Pennsylvania"
"7141189","Sr. Architect - IT Enterprise Architecture","None","PHILADELPHIA","19124","United States","Pennsylvania"
"7244891","Sr Engineer","2001 AUCUTT RD # 287","MONTGOMERY","60538","United States","Illinois"
"7141193","Sr. Architect - IT Enterprise Architecture","None","Carneys Point","08069","United States","New Jersey"
"7467496","Gas Distribution Crew Leader","1699 Leadenhall St","BALTIMORE","21230","United States","Maryland"
"7468051","2022 Exelon Summer Internship: Civil, Computer and Mechanical Engineering: NE Region (DE, PA, NJ)","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"7468052","2022 Exelon Summer Internship: Civil, Computer and Mechanical Engineering: NE Region (DE, PA, NJ)","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
"7355993","Sr Quantitative Analyst - PHI","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7468055","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DE, PA, NJ)","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"7407688","Sr Engineer - Customer Engineering ","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"7468060","2022 Exelon Summer Internship: Finance & Accounting","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
"7468063","2022 Exelon Summer Internship: Finance & Accounting","2301 MARKET ST","PHILADELPHIA","19103","United States","Pennsylvania"
"7383679","Dist Sys Dispatcher I - PECO","680 RIDGE PIKE","PLYMOUTH MEETING","19462","United States","Pennsylvania"
"7468056","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DE, PA, NJ)","5100 Harding Highway","Mays Landing","08330","United States","New Jersey"
"7468072","2022 Exelon Summer Internship: Supply Chain Management","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7355991","Sr Quantitative Analyst - PHI","5 Collins Drive","Carneys Point","08069","United States","New Jersey"
"7468053","2022 Exelon Summer Internship: Civil, Computer and Mechanical Engineering: NE Region (DE, PA, NJ)","630 Martin Luther King Bl","Wilmington","19899","United States","Delaware"
"7494686","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DC, MD)","1068 N FRONT ST","BALTIMORE","21202","United States","Maryland"
"7494687","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DC, MD)","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"7468050","2022 Exelon Summer Internship: Civil, Computer and Mechanical Engineering: NE Region (DE, PA, NJ)","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"7494815","2022 Exelon Summer Internship: Civil, Computer, Environmental and Mechanical Engineering: NE Region (DC, MD)","2 Center Plaza","BALTIMORE","21201","United States","Maryland"
"7494817","2022 Exelon Summer Internship: Civil, Computer, Environmental and Mechanical Engineering: NE Region (DC, MD)","7309 WINDSOR MILL RD","BALTIMORE","21244","United States","Maryland"
"7494818","2022 Exelon Summer Internship: Civil, Computer, Environmental and Mechanical Engineering: NE Region (DC, MD)","1310 Point Street","BALTIMORE","21231","United States","Maryland"
"7453507","Summer 2022 Midwest Engineering Internship (Electrical, Mechanical)","2 Lincoln Center","OAKBROOK TERRACE","60181","United States","Illinois"
"7494684","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DC, MD)","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7468054","2022 Exelon Summer Internship: Electrical Engineer : NE Region (DE, PA, NJ)","401 Eagle Run Road,","Christiana","19702","United States","Delaware"
"7601265","Senior Project Manager - ADMS","None","Newark","19713","United States","Delaware"
"7494814","2022 Exelon Summer Internship: Civil, Computer, Environmental and Mechanical Engineering: NE Region (DC, MD)","701 9th Street. NW","WASHINGTON","20068","United States","District of Columbia"
"7468069","2022 Exelon Summer Internship: Supply Chain Management","10 S DEARBORN ST","CHICAGO","60603","United States","Illinois"
